sample_id,text,expected_writer_type,predicted_writer_type,expected_constructive,expected_toxic,expected_score_range,predicted_final_score,constructiveness_signal,reasoning_marker_score,suggestion_score,explanation_depth_score,toxicity_score,toxicity_penalty,writer_confidence,paragraph_count,word_count,deviation_from_expected_midpoint
66,"The stronger argument combines accountability with continuity, because both stability and adaptation matter. Criticism should focus on decision quality and alternatives, not on personal character judgments. This framing allows rigorous criticism without slipping into unfair blame language. That synthesis respects legitimate concerns while keeping the solution actionable. There are two credible readings of this defeat, and both deserve serious examination. Some fans want immediate selection changes, but others warn that panic selection can break role balance.",Debater,Debater,True,False,80-95,82.0,0.65,0.25,0.3333,0.3,0.0002,-0.0,0.328,1,76,5.5
67,"This framing allows rigorous criticism without slipping into unfair blame language. There are two credible readings of this defeat, and both deserve serious examination. That synthesis respects legitimate concerns while keeping the solution actionable. A balanced view is to keep the core lineup while redefining death-over responsibilities by matchup. A balanced view is to keep the core lineup while redefining death-over responsibilities by matchup. A balanced view is to keep the core lineup while redefining death-over responsibilities by matchup.",Debater,Debater,True,False,80-95,73.0,0.2253,0.0,0.0,0.3,0.0002,-0.0,0.5115,1,79,14.5
68,"There are two credible readings of this defeat, and both deserve serious examination. The stronger argument combines accountability with continuity, because both stability and adaptation matter. A balanced view is to keep the core lineup while redefining death-over responsibilities by matchup. This framing allows rigorous criticism without slipping into unfair blame language. If discussion stays balanced, the team can improve without losing internal confidence. That synthesis respects legitimate concerns while keeping the solution actionable.",Debater,Debater,True,False,80-95,82.6,0.65,0.75,0.3333,0.3,0.0001,-0.0,0.488,1,74,4.9
69,"The stronger argument combines accountability with continuity, because both stability and adaptation matter. This framing allows rigorous criticism without slipping into unfair blame language. Debate is most useful when it compares evidence and ends in concrete next steps. There are two credible readings of this defeat, and both deserve serious examination. Comparing both viewpoints shows that role discipline, not dramatic overhaul, is the practical middle ground. The stronger argument combines accountability with continuity, because both stability and adaptation matter.",Debater,Debater,True,False,80-95,73.0,0.65,0.25,0.0,0.3,0.0002,-0.0,0.3798,1,79,14.5
70,"A balanced view is to keep the core lineup while redefining death-over responsibilities by matchup. If discussion stays balanced, the team can improve without losing internal confidence. There are two credible readings of this defeat, and both deserve serious examination. Comparing both viewpoints shows that role discipline, not dramatic overhaul, is the practical middle ground. Debate is most useful when it compares evidence and ends in concrete next steps. That synthesis respects legitimate concerns while keeping the solution actionable.",Debater,Debater,True,False,80-95,82.6,0.65,0.5,0.3333,0.3,0.0001,-0.0,0.4003,1,79,4.9
71,"Comparing both viewpoints shows that role discipline, not dramatic overhaul, is the practical middle ground. There are two credible readings of this defeat, and both deserve serious examination. If discussion stays balanced, the team can improve without losing internal confidence. The stronger argument combines accountability with continuity, because both stability and adaptation matter. Debate is most useful when it compares evidence and ends in concrete next steps. That synthesis respects legitimate concerns while keeping the solution actionable.",Debater,Debater,True,False,80-95,82.6,0.65,0.75,0.3333,0.3,0.0001,-0.0,0.3792,1,77,4.9
72,"Comparing both viewpoints shows that role discipline, not dramatic overhaul, is the practical middle ground. There are two credible readings of this defeat, and both deserve serious examination. This framing allows rigorous criticism without slipping into unfair blame language. A balanced view is to keep the core lineup while redefining death-over responsibilities by matchup. This framing allows rigorous criticism without slipping into unfair blame language. There are two credible readings of this defeat, and both deserve serious examination.",Debater,Debater,True,False,80-95,73.0,0.2137,0.0,0.0,0.3,0.0002,-0.0,0.3966,1,78,14.5
73,"Criticism should focus on decision quality and alternatives, not on personal character judgments. Some fans want immediate selection changes, but others warn that panic selection can break role balance. That synthesis respects legitimate concerns while keeping the solution actionable. The stronger argument combines accountability with continuity, because both stability and adaptation matter. This framing allows rigorous criticism without slipping into unfair blame language. That synthesis respects legitimate concerns while keeping the solution actionable.",Debater,Debater,True,False,80-95,82.0,0.65,0.25,0.3333,0.3,0.0002,-0.0,0.346,1,73,5.5
74,"If discussion stays balanced, the team can improve without losing internal confidence. The stronger argument combines accountability with continuity, because both stability and adaptation matter. There are two credible readings of this defeat, and both deserve serious examination. This framing allows rigorous criticism without slipping into unfair blame language. Comparing both viewpoints shows that role discipline, not dramatic overhaul, is the practical middle ground. That synthesis respects legitimate concerns while keeping the solution actionable.",Debater,Debater,True,False,80-95,82.6,0.65,0.75,0.3333,0.3,0.0001,-0.0,0.4161,1,74,4.9
75,"That synthesis respects legitimate concerns while keeping the solution actionable. The stronger argument combines accountability with continuity, because both stability and adaptation matter. A balanced view is to keep the core lineup while redefining death-over responsibilities by matchup. It is fair to question tactical calls, yet unfair to ignore the pressure context players were handling. If discussion stays balanced, the team can improve without losing internal confidence. A balanced view is to keep the core lineup while redefining death-over responsibilities by matchup.",Debater,Debater,True,False,80-95,82.6,0.65,0.75,0.3333,0.3,0.0001,-0.0,0.5287,1,82,4.9
76,"Comparing both viewpoints shows that role discipline, not dramatic overhaul, is the practical middle ground. One side argues the captain reacted too late, while another side says execution let him down first. Comparing both viewpoints shows that role discipline, not dramatic overhaul, is the practical middle ground. If discussion stays balanced, the team can improve without losing internal confidence. That synthesis respects legitimate concerns while keeping the solution actionable. A balanced view is to keep the core lineup while redefining death-over responsibilities by matchup.",Debater,Debater,True,False,80-95,82.6,0.65,0.5,0.3333,0.3,0.0001,-0.0,0.4417,1,84,4.9
77,"That synthesis respects legitimate concerns while keeping the solution actionable. Comparing both viewpoints shows that role discipline, not dramatic overhaul, is the practical middle ground. One side argues the captain reacted too late, while another side says execution let him down first. This framing allows rigorous criticism without slipping into unfair blame language. A balanced view is to keep the core lineup while redefining death-over responsibilities by matchup. That synthesis respects legitimate concerns while keeping the solution actionable.",Debater,Debater,True,False,80-95,73.0,0.203,0.0,0.0,0.3,0.0001,-0.0,0.4571,1,78,14.5
78,"The stronger argument combines accountability with continuity, because both stability and adaptation matter. That synthesis respects legitimate concerns while keeping the solution actionable. It is fair to question tactical calls, yet unfair to ignore the pressure context players were handling. Criticism should focus on decision quality and alternatives, not on personal character judgments. This framing allows rigorous criticism without slipping into unfair blame language. Comparing both viewpoints shows that role discipline, not dramatic overhaul, is the practical middle ground.",Debater,Debater,True,False,80-95,82.0,0.65,0.25,0.3333,0.3,0.0001,-0.0,0.3999,1,79,5.5
79,"There are two credible readings of this defeat, and both deserve serious examination. The stronger argument combines accountability with continuity, because both stability and adaptation matter. This framing allows rigorous criticism without slipping into unfair blame language. The stronger argument combines accountability with continuity, because both stability and adaptation matter. Debate is most useful when it compares evidence and ends in concrete next steps. If discussion stays balanced, the team can improve without losing internal confidence.",Debater,Debater,True,False,80-95,82.6,0.65,0.75,0.3333,0.3,0.0001,-0.0,0.3898,1,76,4.9
80,"Comparing both viewpoints shows that role discipline, not dramatic overhaul, is the practical middle ground. If discussion stays balanced, the team can improve without losing internal confidence. That synthesis respects legitimate concerns while keeping the solution actionable. One side argues the captain reacted too late, while another side says execution let him down first. Criticism should focus on decision quality and alternatives, not on personal character judgments. That synthesis respects legitimate concerns while keeping the solution actionable.",Debater,Debater,True,False,80-95,82.6,0.65,0.5,0.6667,0.3,0.0001,-0.0,0.4354,1,77,4.9
81,"At the moment I mostly feel disappointed rather than optimistic about the next fixture. The effort seemed inconsistent, then momentum disappeared for long stretches. I am tired of watching the same script every week and nothing ever changes. Supporters deserve stronger performances than this recurring pattern. The effort seemed inconsistent, then momentum disappeared for long stretches. The crowd kept waiting for control, but the performance stayed uneven throughout. Supporters deserve stronger performances than this recurring pattern.",All-Rounder,Storyteller,False,False,40-60,56.0,0.65,0.5,0.0,0.3,0.0001,-0.0,0.5417,1,76,6.0
82,"The effort seemed inconsistent, then momentum disappeared for long stretches. The effort seemed inconsistent, then momentum disappeared for long stretches. There was no clear improvement tonight, only another frustrating ending. This was another disappointing match and the whole thing felt flat from start to finish. At the moment I mostly feel disappointed rather than optimistic about the next fixture. I wish things were better, but right now it just feels like more of the same.",All-Rounder,Storyteller,False,False,40-60,56.0,0.65,0.5,0.0,0.3,0.0001,-0.0,0.4786,1,75,6.0
83,"Every phase felt messy, and no part of the performance looked genuinely stable. The batting never looked convincing and the bowling followed the same old mistakes. Supporters deserve stronger performances than this recurring pattern. This was another disappointing match and the whole thing felt flat from start to finish. I wish things were better, but right now it just feels like more of the same. Every phase felt messy, and no part of the performance looked genuinely stable.",All-Rounder,Analyst,False,False,40-60,42.04,0.2201,0.0,0.0,0.3,0.0002,-0.0,0.3255,1,78,7.96
84,"The batting never looked convincing and the bowling followed the same old mistakes. The batting never looked convincing and the bowling followed the same old mistakes. I cannot enjoy these games lately because the pattern feels repetitive and draining. There was no clear improvement tonight, only another frustrating ending. There was no clear improvement tonight, only another frustrating ending. Supporters deserve stronger performances than this recurring pattern. The crowd kept waiting for control, but the performance stayed uneven throughout.",All-Rounder,Analyst,False,False,40-60,56.0,0.65,0.25,0.0,0.3,0.0002,-0.0,0.2652,1,79,6.0
85,"At the moment I mostly feel disappointed rather than optimistic about the next fixture. The crowd kept waiting for control, but the performance stayed uneven throughout. Every phase felt messy, and no part of the performance looked genuinely stable. I am tired of watching the same script every week and nothing ever changes. I wish things were better, but right now it just feels like more of the same. The crowd kept waiting for control, but the performance stayed uneven throughout.",All-Rounder,Storyteller,False,False,40-60,56.0,0.65,0.25,0.0,0.3,0.0001,-0.0,0.3719,1,81,6.0
86,"The crowd kept waiting for control, but the performance stayed uneven throughout. There was no clear improvement tonight, only another frustrating ending. The batting never looked convincing and the bowling followed the same old mistakes. This was another disappointing match and the whole thing felt flat from start to finish. There was no clear improvement tonight, only another frustrating ending. This was another disappointing match and the whole thing felt flat from start to finish.",All-Rounder,Passionate Fan,False,False,40-60,39.21,0.2179,0.0,0.0,0.3,0.0002,-0.0,0.2853,1,75,10.79
87,"There was no clear improvement tonight, only another frustrating ending. Every phase felt messy, and no part of the performance looked genuinely stable. The batting never looked convincing and the bowling followed the same old mistakes. This was another disappointing match and the whole thing felt flat from start to finish. Supporters deserve stronger performances than this recurring pattern. The effort seemed inconsistent, then momentum disappeared for long stretches. Every phase felt messy, and no part of the performance looked genuinely stable.",All-Rounder,Analyst,False,False,40-60,56.0,0.65,0.25,0.0,1.0,0.0002,-0.0,0.3326,1,82,6.0
88,"I cannot enjoy these games lately because the pattern feels repetitive and draining. At the moment I mostly feel disappointed rather than optimistic about the next fixture. Every phase felt messy, and no part of the performance looked genuinely stable. There was no clear improvement tonight, only another frustrating ending. The effort seemed inconsistent, then momentum disappeared for long stretches. There was no clear improvement tonight, only another frustrating ending.",All-Rounder,Storyteller,False,False,40-60,56.0,0.65,0.75,0.0,0.3,0.0001,-0.0,0.3924,1,70,6.0
89,"I cannot enjoy these games lately because the pattern feels repetitive and draining. There was no clear improvement tonight, only another frustrating ending. I wish things were better, but right now it just feels like more of the same. The effort seemed inconsistent, then momentum disappeared for long stretches. The crowd kept waiting for control, but the performance stayed uneven throughout. The batting never looked convincing and the bowling followed the same old mistakes.",All-Rounder,Storyteller,False,False,40-60,56.0,0.65,0.5,0.0,1.0,0.0001,-0.0,0.312,1,74,6.0
90,"Every phase felt messy, and no part of the performance looked genuinely stable. The batting never looked convincing and the bowling followed the same old mistakes. I wish things were better, but right now it just feels like more of the same. I am tired of watching the same script every week and nothing ever changes. Supporters deserve stronger performances than this recurring pattern. I cannot enjoy these games lately because the pattern feels repetitive and draining.",All-Rounder,Analyst,False,False,40-60,56.0,0.65,0.25,0.0,0.3,0.0002,-0.0,0.3274,1,77,6.0
91,"I cannot enjoy these games lately because the pattern feels repetitive and draining. The batting never looked convincing and the bowling followed the same old mistakes. The crowd kept waiting for control, but the performance stayed uneven throughout. I wish things were better, but right now it just feels like more of the same. Supporters deserve stronger performances than this recurring pattern. The crowd kept waiting for control, but the performance stayed uneven throughout.",All-Rounder,Storyteller,False,False,40-60,56.0,0.65,0.25,0.0,0.3,0.0001,-0.0,0.2778,1,74,6.0
92,"At the moment I mostly feel disappointed rather than optimistic about the next fixture. This was another disappointing match and the whole thing felt flat from start to finish. At the moment I mostly feel disappointed rather than optimistic about the next fixture. The batting never looked convincing and the bowling followed the same old mistakes. Every phase felt messy, and no part of the performance looked genuinely stable. The crowd kept waiting for control, but the performance stayed uneven throughout.",All-Rounder,Storyteller,False,False,40-60,56.0,0.65,0.25,0.0,0.3,0.0001,-0.0,0.4051,1,81,6.0
93,"Supporters deserve stronger performances than this recurring pattern. I cannot enjoy these games lately because the pattern feels repetitive and draining. There was no clear improvement tonight, only another frustrating ending. Every phase felt messy, and no part of the performance looked genuinely stable. The crowd kept waiting for control, but the performance stayed uneven throughout. This was another disappointing match and the whole thing felt flat from start to finish.",All-Rounder,Passionate Fan,False,False,40-60,54.85,0.65,0.25,0.0,0.3,0.0001,-0.0,0.2638,1,71,4.85
94,"The batting never looked convincing and the bowling followed the same old mistakes. The effort seemed inconsistent, then momentum disappeared for long stretches. There was no clear improvement tonight, only another frustrating ending. There was no clear improvement tonight, only another frustrating ending. The team looked ordinary again, and the night became frustrating very quickly. The effort seemed inconsistent, then momentum disappeared for long stretches. I wish things were better, but right now it just feels like more of the same.",All-Rounder,Storyteller,False,False,40-60,56.0,0.65,0.25,0.0,1.0,0.0001,-0.0,0.3322,1,81,6.0
95,"The effort seemed inconsistent, then momentum disappeared for long stretches. The crowd kept waiting for control, but the performance stayed uneven throughout. Supporters deserve stronger performances than this recurring pattern. The team looked ordinary again, and the night became frustrating very quickly. At the moment I mostly feel disappointed rather than optimistic about the next fixture. The crowd kept waiting for control, but the performance stayed uneven throughout. I wish things were better, but right now it just feels like more of the same.",All-Rounder,Storyteller,False,False,40-60,56.0,0.65,0.5,0.0,0.3,0.0001,-0.0,0.4413,1,84,6.0
96,"The effort seemed inconsistent, then momentum disappeared for long stretches. There was no clear improvement tonight, only another frustrating ending. There was no clear improvement tonight, only another frustrating ending. Every phase felt messy, and no part of the performance looked genuinely stable. This was another disappointing match and the whole thing felt flat from start to finish. At the moment I mostly feel disappointed rather than optimistic about the next fixture.",All-Rounder,Storyteller,False,False,40-60,56.0,0.65,0.5,0.0,0.3,0.0001,-0.0,0.4264,1,72,6.0
97,"I wish things were better, but right now it just feels like more of the same. Supporters deserve stronger performances than this recurring pattern. The effort seemed inconsistent, then momentum disappeared for long stretches. The effort seemed inconsistent, then momentum disappeared for long stretches. This was another disappointing match and the whole thing felt flat from start to finish. The effort seemed inconsistent, then momentum disappeared for long stretches. At the moment I mostly feel disappointed rather than optimistic about the next fixture.",All-Rounder,Storyteller,False,False,40-60,56.0,0.65,0.5,0.0,0.3,0.0001,-0.0,0.5157,1,83,6.0
98,"There was no clear improvement tonight, only another frustrating ending. I am tired of watching the same script every week and nothing ever changes. At the moment I mostly feel disappointed rather than optimistic about the next fixture. The crowd kept waiting for control, but the performance stayed uneven throughout. The crowd kept waiting for control, but the performance stayed uneven throughout. The effort seemed inconsistent, then momentum disappeared for long stretches.",All-Rounder,Storyteller,False,False,40-60,56.0,0.65,0.5,0.0,0.3,0.0001,-0.0,0.482,1,72,6.0
99,"Supporters deserve stronger performances than this recurring pattern. I am tired of watching the same script every week and nothing ever changes. The effort seemed inconsistent, then momentum disappeared for long stretches. Every phase felt messy, and no part of the performance looked genuinely stable. At the moment I mostly feel disappointed rather than optimistic about the next fixture. The batting never looked convincing and the bowling followed the same old mistakes.",All-Rounder,Storyteller,False,False,40-60,56.0,0.65,0.5,0.0,1.0,0.0002,-0.0,0.3452,1,72,6.0
100,"Supporters deserve stronger performances than this recurring pattern. Every phase felt messy, and no part of the performance looked genuinely stable. I wish things were better, but right now it just feels like more of the same. The batting never looked convincing and the bowling followed the same old mistakes. The team looked ordinary again, and the night became frustrating very quickly. The crowd kept waiting for control, but the performance stayed uneven throughout.",All-Rounder,Passionate Fan,False,False,40-60,43.97,0.2219,0.0,0.0,0.3,0.0001,-0.0,0.2222,1,74,6.03
101,They deserve to be ridiculed until they disappear from the tournament. This squad is a joke and every one of them should be ashamed. Every decision proves they are hopeless and not fit for professional sport. The coaching staff are incompetent fools with zero cricket intelligence. Every decision proves they are hopeless and not fit for professional sport. No serious team would trust such garbage-level competence in key moments. No serious team would trust such garbage-level competence in key moments.,All-Rounder,Passionate Fan,False,True,10-35,16.8,0.2066,0.0,0.6667,0.3,0.2036,-20.0,0.368,1,80,5.7
102,The lineup is full of losers who cannot do even basic things right. The coaching staff are incompetent fools with zero cricket intelligence. They choke under pressure because they are mentally weak and clueless. Nothing can fix this mess because they are fundamentally incapable. This squad is a joke and every one of them should be ashamed. The captain is a complete idiot who has no business leading this team.,All-Rounder,Analyst,False,True,10-35,17.98,0.2348,0.25,0.3333,0.3,0.4327,-20.0,0.4388,1,70,4.52
103,No serious team would trust such garbage-level competence in key moments. These players are pathetic clowns who embarrass the club every week. The lineup is full of losers who cannot do even basic things right. Nothing can fix this mess because they are fundamentally incapable. This squad is a joke and every one of them should be ashamed. They deserve to be ridiculed until they disappear from the tournament. Every decision proves they are hopeless and not fit for professional sport.,All-Rounder,Passionate Fan,False,True,10-35,17.7,0.2914,0.25,0.6667,0.3,0.3691,-20.0,0.6438,1,81,4.8
104,These players are pathetic clowns who embarrass the club every week. Every decision proves they are hopeless and not fit for professional sport. Nothing can fix this mess because they are fundamentally incapable. Anyone defending them is blind to how awful and worthless this group has become. The lineup is full of losers who cannot do even basic things right. Every decision proves they are hopeless and not fit for professional sport.,All-Rounder,Analyst,False,True,10-35,13.83,0.2133,0.25,0.0,0.3,0.4091,-20.0,0.4711,1,72,8.67
105,The captain is a complete idiot who has no business leading this team. They choke under pressure because they are mentally weak and clueless. They deserve to be ridiculed until they disappear from the tournament. They deserve to be ridiculed until they disappear from the tournament. They choke under pressure because they are mentally weak and clueless. They deserve to be ridiculed until they disappear from the tournament. They deserve to be ridiculed until they disappear from the tournament.,All-Rounder,Analyst,False,True,10-35,16.22,0.1889,0.25,0.0,0.3,0.3961,-20.0,0.5409,1,79,6.28
106,The lineup is full of losers who cannot do even basic things right. The coaching staff are incompetent fools with zero cricket intelligence. Nothing can fix this mess because they are fundamentally incapable. Every decision proves they are hopeless and not fit for professional sport. They deserve to be ridiculed until they disappear from the tournament. They choke under pressure because they are mentally weak and clueless. Anyone defending them is blind to how awful and worthless this group has become.,All-Rounder,Analyst,False,True,10-35,17.31,0.2422,0.25,0.0,0.3,0.3382,-20.0,0.4573,1,81,5.19
107,The lineup is full of losers who cannot do even basic things right. They deserve to be ridiculed until they disappear from the tournament. This squad is a joke and every one of them should be ashamed. The coaching staff are incompetent fools with zero cricket intelligence. The lineup is full of losers who cannot do even basic things right. No serious team would trust such garbage-level competence in key moments.,All-Rounder,Passionate Fan,False,True,10-35,33.47,0.1952,0.0,0.6667,0.3,0.2532,-2.34,0.3651,1,71,10.97
108,The coaching staff are incompetent fools with zero cricket intelligence. This squad is a joke and every one of them should be ashamed. Every decision proves they are hopeless and not fit for professional sport. No serious team would trust such garbage-level competence in key moments. Anyone defending them is blind to how awful and worthless this group has become. The lineup is full of losers who cannot do even basic things right.,All-Rounder,Passionate Fan,False,True,10-35,12.26,0.2047,0.0,0.6667,0.3,0.3964,-20.0,0.3218,1,73,10.24
109,That batter is useless and should be thrown out immediately. Anyone defending them is blind to how awful and worthless this group has become. This squad is a joke and every one of them should be ashamed. The lineup is full of losers who cannot do even basic things right. They choke under pressure because they are mentally weak and clueless. Anyone defending them is blind to how awful and worthless this group has become.,All-Rounder,Analyst,False,True,10-35,17.21,0.2493,0.25,0.3333,0.3,0.3608,-20.0,0.4489,1,75,5.29
110,Every decision proves they are hopeless and not fit for professional sport. That batter is useless and should be thrown out immediately. Anyone defending them is blind to how awful and worthless this group has become. Anyone defending them is blind to how awful and worthless this group has become. They choke under pressure because they are mentally weak and clueless. This squad is a joke and every one of them should be ashamed.,All-Rounder,Analyst,False,True,10-35,19.36,0.2418,0.25,0.3333,0.3,0.2336,-20.0,0.4423,1,74,3.14
111,These players are pathetic clowns who embarrass the club every week. They deserve to be ridiculed until they disappear from the tournament. No serious team would trust such garbage-level competence in key moments. The lineup is full of losers who cannot do even basic things right. Nothing can fix this mess because they are fundamentally incapable. Anyone defending them is blind to how awful and worthless this group has become.,All-Rounder,Passionate Fan,False,True,10-35,14.15,0.2394,0.25,0.3333,0.3,0.4725,-20.0,0.5736,1,70,8.35
112,The lineup is full of losers who cannot do even basic things right. No serious team would trust such garbage-level competence in key moments. They deserve to be ridiculed until they disappear from the tournament. This squad is a joke and every one of them should be ashamed. The coaching staff are incompetent fools with zero cricket intelligence. The lineup is full of losers who cannot do even basic things right.,All-Rounder,Passionate Fan,False,True,10-35,32.82,0.2009,0.0,0.6667,0.3,0.2795,-2.54,0.3713,1,71,10.32
113,They deserve to be ridiculed until they disappear from the tournament. They choke under pressure because they are mentally weak and clueless. They deserve to be ridiculed until they disappear from the tournament. The captain is a complete idiot who has no business leading this team. The lineup is full of losers who cannot do even basic things right. Every decision proves they are hopeless and not fit for professional sport.,All-Rounder,Passionate Fan,False,True,10-35,14.4,0.182,0.25,0.0,0.3,0.4221,-20.0,0.5657,1,71,8.1
114,This squad is a joke and every one of them should be ashamed. Every decision proves they are hopeless and not fit for professional sport. They choke under pressure because they are mentally weak and clueless. That batter is useless and should be thrown out immediately. They deserve to be ridiculed until they disappear from the tournament. The coaching staff are incompetent fools with zero cricket intelligence. They choke under pressure because they are mentally weak and clueless.,All-Rounder,Analyst,False,True,10-35,19.18,0.2731,0.25,0.3333,0.3,0.3229,-20.0,0.4333,1,78,3.32
115,They deserve to be ridiculed until they disappear from the tournament. They choke under pressure because they are mentally weak and clueless. These players are pathetic clowns who embarrass the club every week. This squad is a joke and every one of them should be ashamed. Every decision proves they are hopeless and not fit for professional sport. They deserve to be ridiculed until they disappear from the tournament. They choke under pressure because they are mentally weak and clueless.,All-Rounder,Analyst,False,True,10-35,17.92,0.2411,0.25,0.3333,0.3,0.3629,-20.0,0.523,1,80,4.58
116,The lineup is full of losers who cannot do even basic things right. They choke under pressure because they are mentally weak and clueless. That batter is useless and should be thrown out immediately. They deserve to be ridiculed until they disappear from the tournament. They deserve to be ridiculed until they disappear from the tournament. The coaching staff are incompetent fools with zero cricket intelligence. The coaching staff are incompetent fools with zero cricket intelligence.,All-Rounder,Analyst,False,True,10-35,14.32,0.2685,0.25,0.3333,0.3,0.3956,-20.0,0.4011,1,76,8.18
117,Nothing can fix this mess because they are fundamentally incapable. Nothing can fix this mess because they are fundamentally incapable. Every decision proves they are hopeless and not fit for professional sport. They choke under pressure because they are mentally weak and clueless. The coaching staff are incompetent fools with zero cricket intelligence. The lineup is full of losers who cannot do even basic things right. This squad is a joke and every one of them should be ashamed.,All-Rounder,Analyst,False,True,10-35,21.8,0.2912,0.25,0.3333,0.3,0.2937,-20.0,0.4809,1,79,0.7
118,They choke under pressure because they are mentally weak and clueless. That batter is useless and should be thrown out immediately. They deserve to be ridiculed until they disappear from the tournament. They deserve to be ridiculed until they disappear from the tournament. No serious team would trust such garbage-level competence in key moments. They deserve to be ridiculed until they disappear from the tournament. These players are pathetic clowns who embarrass the club every week.,All-Rounder,Analyst,False,True,10-35,7.59,0.2887,0.25,0.6667,0.3,0.4355,-20.0,0.4186,1,76,14.91
119,They deserve to be ridiculed until they disappear from the tournament. This squad is a joke and every one of them should be ashamed. Every decision proves they are hopeless and not fit for professional sport. No serious team would trust such garbage-level competence in key moments. The captain is a complete idiot who has no business leading this team. The lineup is full of losers who cannot do even basic things right.,All-Rounder,Passionate Fan,False,True,10-35,11.73,0.1514,0.0,0.6667,0.3,0.4527,-20.0,0.8989,1,73,10.77
120,They deserve to be ridiculed until they disappear from the tournament. Every decision proves they are hopeless and not fit for professional sport. Nothing can fix this mess because they are fundamentally incapable. No serious team would trust such garbage-level competence in key moments. That batter is useless and should be thrown out immediately. The coaching staff are incompetent fools with zero cricket intelligence. They deserve to be ridiculed until they disappear from the tournament.,All-Rounder,Analyst,False,True,10-35,17.12,0.2826,0.25,0.6667,0.3,0.2805,-20.0,0.4517,1,75,5.38
