text,stance_label,confidence,expected_score_band,expected_toxicity_band,expected_supportive_strength_band
NZ India spy boss man https://t.co/jXymeTJycl,NEUTRAL_ANALYSIS,0.3252,"[24.18, 36.18]","[0.0, 0.0802]","[0.0, 0.15]"
"Buttler and Salt gone early, will be a bit difficult for England here. England always get smashed by small teams. Vs Nepal they escaped. Let's see what Scotland can do.",NEUTRAL_ANALYSIS,0.2958,"[37.54, 49.54]","[0.0, 0.0803]","[0.0, 0.15]"
"One thing when watching cricket vs Pakistan, whenever the ball  slightly goes away from the Pakistani fielder, I wouldn't even get stressed. Because it would mostly would be a drop or be a boundary.",NEUTRAL_ANALYSIS,0.2751,"[74.0, 86.0]","[0.0, 0.0802]","[0.0, 0.15]"
"We need to get Sanjay K.

Can go at a low strike rate but look at his penchant for 6 hitting.

The way the ball leaves his bat is👌👌👌#icct20worldcup2026 

Good spot by MI for their MI Emirates side. https://t.co/S4wmWOD48Q",NEUTRAL_ANALYSIS,0.3118,"[38.45, 50.45]","[0.0, 0.0808]","[0.0, 0.15]"
Babar would have surely amassed runs if the quality of bowling is what we witness right now.,MIXED_STANCE,0.0493,"[69.0, 81.0]","[0.0, 0.0802]","[0.0, 0.15]"
Started my journey in South Africa way back in 2009  but First time here in this beautiful place. Traditional ground and a tree inside the boundary line. https://t.co/vYieUpFp3K,NEUTRAL_ANALYSIS,0.3272,"[37.34, 49.34]","[0.0, 0.0802]","[0.0, 0.15]"
Another dismissal for Buttler same line same length and it continues. Not sure when England will learn.,NEUTRAL_ANALYSIS,0.277,"[38.63, 50.63]","[0.0, 0.0802]","[0.0, 0.15]"
"After such an innings, what a shit delivery to get out bro 😭",NEUTRAL_ANALYSIS,0.4458,"[28.41, 40.41]","[0.1575, 0.3175]","[0.0, 0.15]"
"India playing XI for the next game 

1 Abhishek Sharma 
2 Sanju Samson 
3 Ishan Kishan 
4 SKY 
5 Tilak 
6 Pandya 
7 Dube 
8 Axar 
9 Arshdeep 
10 Bumrah 
11 Varun",NEUTRAL_ANALYSIS,0.3035,"[34.07, 46.07]","[0.0, 0.0808]","[0.0, 0.15]"
"Has Sam Curran improved his slog over bowling? Like, he bowled so well for England this World cup in slog overs.",MIXED_STANCE,0.1333,"[39.5, 51.5]","[0.0, 0.0812]","[0.0, 0.15]"
"🚨 UPDATE ON LOCKIE FERGUSON 🚨

- Lockie Ferguson is likely to miss the first 7 games of IPL 2026. [Bharat Sharma from PTI] https://t.co/wACkiY5Emc",NEUTRAL_ANALYSIS,0.3029,"[30.72, 42.72]","[0.0, 0.0803]","[0.0, 0.15]"
"Happy Valentine's Day! ❤️

Who is it that made you fall in love with Cricket? 🏏 🤔 https://t.co/eqFoFmUose",NEUTRAL_ANALYSIS,0.3667,"[29.06, 41.06]","[0.0, 0.0804]","[0.0, 0.15]"
"If they're looking past SKY after this World Cup, who will be the next Captain?

With Hardik &amp; Bumrah not in consideration and not many Captaincy options there.. I feel Sanju has emerged as a strong contender after these knocks &amp; his experience as a Captain in IPL.",CONSTRUCTIVE_CRITICISM,0.3337,"[43.88, 55.88]","[0.0, 0.0802]","[0.0, 0.15]"
Feel for Afghanistan cricket fans so difficult to be them . These guys fight so hard and lose matches.,NEUTRAL_ANALYSIS,0.3083,"[41.02, 53.02]","[0.0, 0.0827]","[0.0, 0.15]"
"RCB's squad till now except Suyash Sharma, Krunal, and Devdutt all out of form, not playing cricket or injured 🤣🤣😭😭",MIXED_STANCE,0.0952,"[32.91, 44.91]","[0.0, 0.0804]","[0.0, 0.15]"
"Hmmm

This makes me wonder JUST what skeletons they are hiding in the closet.

As much as we all wish to never speak about the abomination that was The Ashes, taking the right away to hold players and management to account feels a bit of a dictator move.",NEUTRAL_ANALYSIS,0.3488,"[30.89, 42.89]","[0.0, 0.1179]","[0.0, 0.15]"
Don't think I've liked a rcb x Puma kit as much as this 🤌🏼 https://t.co/ecnNhQVkq8,NEUTRAL_ANALYSIS,0.3353,"[38.01, 50.01]","[0.0, 0.0803]","[0.0, 0.15]"
"Finally lets look at SRH and we all know what this team stand for, they are all out aggression and not built for accumulation batting by any stretch. They live by the mantra ‘ you score 250, we will score 260’.. However do they have the bowling that can back up their batters? https://t.co/3DkuExYq0o",NEUTRAL_ANALYSIS,0.3336,"[41.57, 53.57]","[0.033, 0.193]","[0.0, 0.15]"
"Rashid Khan hadn’t dismissed Glenn Phillips before today’s encounter in T 20 cricket.

Phillips was taking the game away from the Afghans and Rashid found the perfect moment to change the match up data.👏👏 #icct20worldcup2026 

Match up before today’s dismissal⬇️ https://t.co/ERsCSOkzku",NEUTRAL_ANALYSIS,0.4206,"[27.07, 39.07]","[0.0, 0.0802]","[0.0, 0.15]"
"The 2026 T20 World Cup began with limited interest, but aside from the exciting cricket, it's been the huge turnout that has made it an outright success already.

Fan speak: How 'perfect timing' and stellar cricket have put the world back in World Cup ⬇️

https://t.co/wkWGjrv14p",NEUTRAL_ANALYSIS,0.3201,"[33.16, 45.16]","[0.0, 0.0803]","[0.0, 0.15]"
NZ have now lost 2 finals in the last 3 ODI WCs &amp; 2 finals in the last 4 T20 WCs,NEUTRAL_ANALYSIS,0.336,"[35.41, 47.41]","[0.0, 0.0807]","[0.0, 0.15]"
"100 times she’s worn the Maroon with pride ❤️🔥

Salute to Hayley Matthews on her 100th WODI 👏🏾

#WIWvSLW | #MaroonWarriors https://t.co/2jyj2FBru5",NEUTRAL_ANALYSIS,0.3334,"[34.25, 46.25]","[0.0, 0.0803]","[0.0, 0.15]"
"Bumrah is not normal, lol. Every match he comes, he puts India back in the match.",NEUTRAL_ANALYSIS,0.3172,"[37.01, 49.01]","[0.0, 0.0821]","[0.0, 0.15]"
The NRR is going to the gutters and India won't be able to recover that I guess... Massive massive defeat,NEUTRAL_ANALYSIS,0.3077,"[69.0, 81.0]","[0.0, 0.0957]","[0.0, 0.15]"
"PCB &amp; BCB this is what happens if you play games beyond Aukat. Trying to be the main character. Main source of income in cricket is playing vs India.  Hope BCCI won't play them, but we all know BCCI won't leave one rupee.",NEUTRAL_ANALYSIS,0.2975,"[47.0, 59.0]","[0.0, 0.0802]","[0.0, 0.15]"
Finn Allen finally unlocked his full potential. Took a few years but man is out batting like a madman now,MIXED_STANCE,0.1709,"[36.92, 48.92]","[0.0, 0.0806]","[0.0, 0.15]"
Auqib Nabi’s test call is not any further away. He will be in the test squad tour to New Zealand.,CONSTRUCTIVE_CRITICISM,0.3196,"[37.92, 49.92]","[0.0, 0.0802]","[0.0, 0.15]"
"Kidding me @dasunshanaka1 😲😲😲

Incredible 👏👏👏 #T20WorldCup",NEUTRAL_ANALYSIS,0.3283,"[26.44, 38.44]","[0.0, 0.0812]","[0.0, 0.15]"
Brian Bennett with a #T20WorldCupలో  batting average of 146 not getting inti this team is wild https://t.co/0EJJaTPTmn,NEUTRAL_ANALYSIS,0.3944,"[32.5, 44.5]","[0.0, 0.0812]","[0.0, 0.15]"
"I said this on the Zero Ducks podcast when talking about Brook and the IPL.
The decision to skip looks more absurd when:

1) Against spin his average drops from 31.9 to 21.5 and his strike rate dips from 149 to just 131

2) The T20 world cup next year is in India

Madness.",NEUTRAL_ANALYSIS,0.3268,"[35.03, 47.03]","[0.0, 0.0963]","[0.0, 0.15]"
"If RR don’t play Hetmyer at 3 for this years IPL then they need to dissolve the franchise.

His career T20 stats
Average 28.6
SR 146.8

At 3
Average 54.75
SR 185.59

Some players thrive when they are trusted higher up the order , Hetty seems to be one of those 

 #WIvsZim #T20WorldCup",NEUTRAL_ANALYSIS,0.3079,"[36.6, 48.6]","[0.0, 0.1027]","[0.0, 0.15]"
"WI  have a good team but need a sexond death bowler. If they can find a good death bowler, they can compete in T20. Romario can't be a death bowler.",CONSTRUCTIVE_CRITICISM,0.3419,"[49.43, 61.43]","[0.0, 0.0812]","[0.0, 0.15]"
"We IPL fans believe it's totally worth ruining your health for IPL. 

Two months of the best thing mankind has ever created.",NEUTRAL_ANALYSIS,0.3318,"[39.08, 51.08]","[0.0, 0.0818]","[0.0, 0.15]"
How #CricketTwitter feels today with no games on. https://t.co/YQfzQLntlJ,NEUTRAL_ANALYSIS,0.62,"[30.06, 42.06]","[0.0, 0.0803]","[0.0, 0.15]"
"2 things 

1. RCB has been doing pre-season camps for a long time (they conduct like 2-4 days) before the main camp, and people are acting like we are doing it for the first time

2. Accuser is not even in the pre-season camp, hopefully got some leg injury and will be out of IPL. Mangesh and Rashik should be main priority, they can bat too.",NEUTRAL_ANALYSIS,0.3016,"[34.85, 46.85]","[0.0, 0.0815]","[0.0, 0.15]"
"Well KKR went into the #IPL2026 auction with ₹64.3 Crore to spend and splashed out ₹52.4 Crore on 3 big signings:

🇳🇿Cameron Green - horrendously out of form
🇱🇰Matheesha Pathirana - injured out likely out of IPL 
🇧🇩Mustafizur Rahman - banned

Add to this 
🤕Harshit Rana is possibly out of the IPL too
❌Rinku out of form
🐌Rahane as captain

It looks like pace bowling is all down to Vaibhav Arora and Umran Malik

Meanwhile Malik in DY Patil game today",NEUTRAL_ANALYSIS,0.3069,"[34.75, 46.75]","[0.0, 0.081]","[0.0, 0.15]"
"Kohli - Not playing 
Salt - Out of Form
Devdutt - In form ( Small Injury )
Rajat - Injury + Out of Form 
Jitesh - Out of form
Tim David - Not Played long time 
Romario - In form 
Krunal - In form 
Suyash - In form 
Hazlewood - Injured 
Bhuvi - In form / Out of Form 
Accused - Not playing / One call away from Lucknow Jail
Mangesh - Injured / just started playing 
Rashik - Not playing 
Ostwal - In form
Bethell - Not in Form
Venkatesh - In and out of form",DIRECT_ATTACK,0.3563,"[11.05, 23.05]","[0.0, 0.0808]","[0.0, 0.15]"
Average winning score in this pitch is 192. India’s target is 196. Ind needs to be 63/1 after power play to stay ahead of this chase. Expecting WI to start with double spin attack - Akeal and Chase.,CONSTRUCTIVE_CRITICISM,0.3762,"[40.46, 52.46]","[0.0, 0.0803]","[0.0, 0.15]"
Message from Zim is very clear. Their win against Australia is no fluke and they command a place in super8s. Well played Zimbabwe.,NEUTRAL_ANALYSIS,0.3075,"[38.14, 50.14]","[0.0, 0.0803]","[0.0, 0.15]"
"79 ball hundred in your last ODI. Alyssa Healy, what a legend. Indian batters were scoring 79 ball fifties in the last two ODIs 😭",NEUTRAL_ANALYSIS,0.375,"[37.54, 49.54]","[0.0, 0.0821]","[0.0, 0.15]"
"England will get away with it and qualify for the Super 8..

But against quality teams I can see us struggling - just like we did against West Indies.

We were lucky against Nepal, had wobbles against Scotland and gave wickets away to Italy today. 

Super 8 exit loading #T20WorldCup #ENGvITA",NEUTRAL_ANALYSIS,0.3626,"[36.95, 48.95]","[0.0, 0.0802]","[0.0, 0.15]"
Another day another dismissal for Buttler unfortunately with no feat movement whatsoever and the pattern of dismissal continues for him in this World Cup. England still have time to think about getting Duckett in to open the batting and use buttler down the order.,MIXED_STANCE,0.1701,"[31.95, 43.95]","[0.0, 0.0805]","[0.0, 0.15]"
Nissanka &amp; Kusal packed early. England heavily favorites now with 65% of SL batting dusted.,NEUTRAL_ANALYSIS,0.4153,"[33.28, 45.28]","[0.0, 0.0803]","[0.0, 0.15]"
"So this got me thinking this morning about overall highest player of the match awards in #IPL 

The top 10 are
Gayle 22
AbD 25
Watson 16
Yusuf Pathan 16
Narine 15
Kohli 19
Rohit 20
Dhoni 17
Raina 14

Now lets apply perspective for how many games they played..
Gayle and AbD are monsters💪
Watson isnt considered an IPL legend but should be.",NEUTRAL_ANALYSIS,0.2988,"[33.23, 45.23]","[0.0, 0.0832]","[0.0, 0.15]"
Respect the name: Sanju Samson!!!,MIXED_STANCE,0.2052,"[36.07, 48.07]","[0.0, 0.0802]","[0.0, 0.15]"
"The 2022 #T20WorldCup  gave us the PAK bean derby between Pakistan and Zimbabwe. #T20WorldCup2026 has given us the  ‘Cup cake’ derby
Cricket is the gift that keeps on giving https://t.co/Zh6q6PmQEJ",NEUTRAL_ANALYSIS,0.3338,"[37.46, 49.46]","[0.0, 0.0803]","[0.0, 0.15]"
Love the fact that he's always excited about IPL https://t.co/QdVmMEBfyZ,NEUTRAL_ANALYSIS,0.3165,"[29.48, 41.48]","[0.0, 0.0802]","[0.0, 0.15]"
What is this EA Cricket easy level batting in the last 4 overs 🤣🤣🤣,CONSTRUCTIVE_CRITICISM,0.4153,"[36.62, 48.62]","[0.0, 0.0803]","[0.0, 0.15]"
"Is this meant to be a difficult question 🤔

....Jason Gillespie, Brett Lee, Glenn McGrath and Shaun Tait",NEUTRAL_ANALYSIS,0.3263,"[33.18, 45.18]","[0.0, 0.0802]","[0.0, 0.15]"
Dube became Hardik in batting for India in T20I.,NEUTRAL_ANALYSIS,0.3185,"[42.06, 54.06]","[0.0, 0.0803]","[0.0, 0.15]"
"T20 is the best format of cricket. In other formats, to produce close matches we need to pray. This T20 format is produced regularly,  no wonder they want to promote it.",NEUTRAL_ANALYSIS,0.3068,"[69.0, 81.0]","[0.0, 0.0802]","[0.0, 0.15]"
"Watching all these chases, nothing can top the WPL chase man. 200+ run chasing scoring exactly what was required every over. Voll and Smriti that day played like they were possessed by gods, all associate nations should watch that match before coming to chasing.",NEUTRAL_ANALYSIS,0.3444,"[34.69, 46.69]","[0.0, 0.0806]","[0.0, 0.15]"
"3/23 for Auqib Nabi so far on an absolute featherbed pitch after J&K amassed 574. His 3 wickets include KL Rahul  , Karun Nair & the talented Smaran. If the selectors don’t pick Shami , he should get in to the test squad next series. J&K slowly but steadily inching towards history #Ranjitrophyfinal",CONSTRUCTIVE_CRITICISM,0.3883,"[69.0, 81.0]","[0.0, 0.0802]","[0.0, 0.15]"
Quinny has had a below average World Cup so far with only two decent knocks but people think he's in the form of his life,NEUTRAL_ANALYSIS,0.2848,"[39.08, 51.08]","[0.0, 0.0804]","[0.0, 0.15]"
"Pakistan’s T20 World Cup squad. 

- Haris Rauf dropped. https://t.co/cPwsuWPPPL",NEUTRAL_ANALYSIS,0.3208,"[29.35, 41.35]","[0.0, 0.0805]","[0.0, 0.15]"
161 in 12 overs https://t.co/H1J7CYyiDc,CONSTRUCTIVE_CRITICISM,0.4091,"[29.14, 41.14]","[0.0, 0.0804]","[0.0, 0.15]"
The amount of players that support and join RCB and rub shoulders with Kohli is next level. It is like 8/10 players from India or abroad want to fan of RCB and want to join RCB. There is no competition for pull man 😭😭.. I hope this brother gets a contract.,CONSTRUCTIVE_CRITICISM,0.3741,"[69.0, 81.0]","[0.0, 0.0805]","[0.0, 0.15]"
"Now it’s Rajasthan’s turn to defeat Tamil Nadu in vijay Hazare trophy. From 136/1 in 18 overs chasing 226 , TN fold to 215. Extremely disappointing only solution is @ashwinravi99 to take over as head coach.",MIXED_STANCE,0.0592,"[31.81, 43.81]","[0.0, 0.0805]","[0.0, 0.15]"
Mitchell Santner today https://t.co/YW0TSR0I2m,NEUTRAL_ANALYSIS,0.3189,"[69.0, 81.0]","[0.0, 0.0804]","[0.0, 0.15]"
"Big, big call to drop your vice captain in a Super 8 match

#T20WorldCup #INDvSA",NEUTRAL_ANALYSIS,0.3079,"[32.11, 44.11]","[0.0, 0.0808]","[0.0, 0.15]"
Made a mistake getting Hope's wicket and bringing Hetmyer in to bat,NEUTRAL_ANALYSIS,0.537,"[31.6, 43.6]","[0.0, 0.0858]","[0.0, 0.15]"
"This is carnage and the hit me balls
are coming twice every ball.

The pressure is clearly being felt by pak. #INDvsPAK #ICCT20WORLDCUP",NEUTRAL_ANALYSIS,0.3068,"[28.57, 40.57]","[0.0, 0.155]","[0.0, 0.15]"
"Saurashtra, Vidharba, Madhya Pradesh, Gujarat and now J & k have won the Ranji Trophy over the last decade.

These teams have found a way to prepare well with a unified goal in mind as a team.

It has paved way for cricketers like Jaydev, Harsh Dubey( India A), Rajat Patidar, Karun Nair, Axar Patel to play for India in whites. 

In time J&k would also be seeing representations from this championship winning side.

This serves as a reminder once again for  cricketers from the rest of the country, that if they stand together and play united with a Ranji trophy title as a goal, they or at least their team mates can go on to play for the country. 

Well done to J & K , it’s a massive achievement.👏👏 #RanjiTrophy 

Note: Not mentioned Karnataka & Mumbai cos they have always been hunting the title down consistently.",NEUTRAL_ANALYSIS,0.2993,"[33.29, 45.29]","[0.0, 0.0802]","[0.0, 0.15]"
"Should have just ditched him for moral reasons and for cricket reasons, He is not some prime Starc. Last season his numbers were not good. Powerplay was going 9+ and the slog overs 11+. Middle overs were only decent. Can't bat and Fields like he is pregnant.",CONSTRUCTIVE_CRITICISM,0.3293,"[38.37, 50.37]","[0.0472, 0.2072]","[0.0, 0.15]"
"Henry bowled a good first over, Santner replaced him with Duffy for the 3rd over and since then it's all boom boom. Santner, the Captain you are... Lucky he's NZ Captain",NEUTRAL_ANALYSIS,0.3119,"[42.4, 54.4]","[0.0332, 0.1932]","[0.0, 0.15]"
@ashwinravi99 It's the time when ravi ashwin got the call to be in the team and played 3 WC 🙏,MIXED_STANCE,0.0625,"[69.0, 81.0]","[0.0, 0.0802]","[0.0, 0.15]"
Markram is especially sad because he’s thinking about the fact that the next cricket match he plays will not be in this beaut SA yellow jersey but in that LSG red and blue abomination,CONSTRUCTIVE_CRITICISM,0.2711,"[38.15, 50.15]","[0.0, 0.0805]","[0.0, 0.15]"
"A new season and a different format to discuss the teams fortunes.

We start with RCB , see if Punjab have upgraded their squad and of course if GT will retain their play off spot from last season.

Previewing one team is directly proportional to another.🤓 @crikipidea 
 
Preview out⬇️⬇️⬇️

https://t.co/ZJlGfcsRYB",NEUTRAL_ANALYSIS,0.3045,"[37.37, 49.37]","[0.0, 0.0802]","[0.0, 0.15]"
Just realised this is Holder's home next month and he'll have 🐐 IPL finisher Tewatia partnering him,CONSTRUCTIVE_CRITICISM,0.3385,"[36.99, 48.99]","[0.0, 0.0804]","[0.0, 0.15]"
"Ricky Ponting is low key trying to turn Punjab Kings into Delhi Capitals🥶

Firstly stole their captain and secondly stole their kit.

#ipl_2026 https://t.co/XZcntTG3KB",NEUTRAL_ANALYSIS,0.3118,"[29.15, 41.15]","[0.0, 0.0873]","[0.0, 0.15]"
"In international T20Is, you can't take Wide DRS? Dumb idiotic rule.",NEUTRAL_ANALYSIS,0.3072,"[21.95, 33.95]","[0.2043, 0.3643]","[0.0, 0.15]"
"RCB has 4 overseas pacers in Hazlewood, Thushara, Duffy &amp; Romario. And none of them have arrived yet. https://t.co/zzt1Pum6Cg",NEUTRAL_ANALYSIS,0.3242,"[35.7, 47.7]","[0.0, 0.0802]","[0.0, 0.15]"
"Time passed.
Seasons changed.

But this city? Still his. ❤️
This throne? Still his. 👑

And our love for the 𝗢𝗻𝗹𝘆 𝗧𝗿𝘂𝗲 𝗞𝗶𝗻𝗴, only grows stronger by the day. 🥹

Our Virat Kohli returns to where he belongs, his home, Bengaluru, for a new story. ❤️‍🔥

So, 12th Man Army! We ready for No. 1️⃣8️⃣’s Season 1️⃣9️⃣? 🥶

#PlayBold #ನಮ್ಮRCB #IPL2026",NEUTRAL_ANALYSIS,0.3173,"[40.79, 52.79]","[0.0, 0.0803]","[0.0, 0.15]"
BREAKING: The government of Pakistan has said that Pakistan will boycott their T20 World Cup match against India https://t.co/ESu4llHICV,NEUTRAL_ANALYSIS,0.3126,"[25.38, 37.38]","[0.0, 0.0806]","[0.0, 0.15]"
"The queen yet again gets her👑👑

Smriti has just won the best international womens cricketer for the 5th time 🤯🤯 at the BCCI awards.

A year where she has:

36 matches
🏏1800 runs
💯7 centuries

It just had to be her. https://t.co/Tq5sN91fhd",NEUTRAL_ANALYSIS,0.3315,"[35.14, 47.14]","[0.0, 0.0831]","[0.0, 0.15]"
The best all rounder to ever grace a cricket pitch. https://t.co/WzOXVdMAT4,CONSTRUCTIVE_CRITICISM,0.3235,"[32.77, 44.77]","[0.0, 0.0803]","[0.0, 0.15]"
"175 (80) in the U19 WC final, 15 fours and 15 sixes with 85.7% of his runs in boundaries. That’s absurd. This is a follow up to his 68(33) in the semis chasing a 300+ target. Vaibhav has owned the big stage like he's born for it. A prodigy with serious big match temperament.

Overall Tournament numbers: Leader run getter with 439 runs at 62.71, SR 169.49. A T20 Strike rate of 170 is elite. 30 sixes overall and 78.35% of his runs in boundaries.

This kid is knocking on the doors of international cricket hard & fast. Post the T20 World Cup, don’t be surprised if that door opens.",NEUTRAL_ANALYSIS,0.2956,"[37.0, 49.0]","[0.0, 0.0805]","[0.0, 0.15]"
"That New Zealand bowling attack was so filthy man and that too flat wicket. Rinku belted them left and right , he even hit spin😭😭😭",NEUTRAL_ANALYSIS,0.4191,"[31.42, 43.42]","[0.0, 0.1482]","[0.0, 0.15]"
"Did not expect Forde to bowl this well in Powerplay, that too against Indian batters.",NEUTRAL_ANALYSIS,0.4404,"[33.68, 45.68]","[0.0, 0.0803]","[0.0, 0.15]"
Both the semi finals and finals will be played in india,MIXED_STANCE,0.0628,"[33.07, 45.07]","[0.0, 0.0802]","[0.0, 0.15]"
Hope it was a laughter riot. Tried my best to entertain you all. Pls advise @ashwinravi99 not to interrupt while Iam on song mode. https://t.co/TvT5qxkNQ2,NEUTRAL_ANALYSIS,0.3899,"[35.46, 47.46]","[0.0, 0.0802]","[0.0, 0.15]"
Not every one can be as good a strategic captain like you Biffy.,NEUTRAL_ANALYSIS,0.2976,"[33.56, 45.56]","[0.0913, 0.2513]","[0.0, 0.15]"
"Sanju became a cult hero for them when he played for India... Now imagine where Sanju would stand after winning the World Cup with stellar knocks &amp; POTT.

Sanju's life has gone from desperation to being a national hero in a span of 7-8 games.",NEUTRAL_ANALYSIS,0.3097,"[38.34, 50.34]","[0.0, 0.0802]","[0.0, 0.15]"
"So I think, slowly RCB will have sister franchises from here on.... Maybe have one in SA20, rest leagues doesn't matter",NEUTRAL_ANALYSIS,0.3149,"[69.0, 81.0]","[0.0, 0.0802]","[0.0, 0.15]"
"Didn't even look like that usual Phil Salt innings, hardly seen him attack but still his strike rate is over 140 here",NEUTRAL_ANALYSIS,0.4482,"[34.84, 46.84]","[0.0, 0.0802]","[0.0, 0.15]"
Guess what I am recording tomorrow and never ever deleting from my Sky box? #RCB https://t.co/dRchtL3v3g,NEUTRAL_ANALYSIS,0.3409,"[69.0, 81.0]","[0.0, 0.0802]","[0.0, 0.15]"
Rinku Singh stay strong. Left the team spent a few days with his family and again came back for national duty only to receive a news that his father is no more. Imagine the commitment. Heart goes out for you. Entire nation is behind you to support you. Praying to God to make things easy for you and your family 🙏,MIXED_STANCE,0.0933,"[69.0, 81.0]","[0.0, 0.0803]","[0.0, 0.15]"
As expected SA recover well from 41/3 to 187 on a batting paradise. SA short by 18 runs. India needs to be 50/1 after power play to stay ahead of this chase.,CONSTRUCTIVE_CRITICISM,0.4171,"[40.68, 52.68]","[0.0, 0.0805]","[0.0, 0.15]"
"Max O'Dowd, a Netherland player, was playing against Pakistan. He dropped a catch vs Pakistan and Indians abusing him in the comments",NEUTRAL_ANALYSIS,0.3427,"[27.57, 39.57]","[0.0, 0.0807]","[0.0, 0.15]"
"Well Blessing Muzarabani has just followed KKR on Instagram👀👀

Could he be coming into #IPL as a replacement for Fizz? He would have to back put of his PSL commitment to Islamabad",NEUTRAL_ANALYSIS,0.2968,"[41.19, 53.19]","[0.0, 0.0824]","[0.0, 0.15]"
"Any young leg spinner having ambitions to make it to the big stage , watch Adil Rashid bowl. Master class bowling slow through the air and his million variations.",NEUTRAL_ANALYSIS,0.321,"[34.3, 46.3]","[0.0, 0.0803]","[0.0, 0.15]"
"Watched the highlights, just to wonder again how good Bumrah is... Imagine opponents playing you out when the RRR is 15 in the last 4-5 overs... Comparing any bowler to Bumrah in T20s is such an insult to that man.",SUPPORTIVE_DEFENSE,0.3158,"[35.03, 47.03]","[0.0, 0.0841]","[0.0, 0.15]"
One of the finest comeback stories in Cricket for Samson. From a horrendous 5 match series to getting dropped from the XI for the first WC match and then delivering three consecutive quality knocks in 3 knockout games.,NEUTRAL_ANALYSIS,0.3128,"[41.12, 53.12]","[0.0, 0.0802]","[0.0, 0.15]"
"🚨 NO GLAZERS FOR RCB ❌
 
It's a two horse race between CONSORTIUM (Ranjan Pai) and EQT 

Avram Glazers didn't submit the binding bid even after getting the shortlisted 

@venkatananth reports https://t.co/X9bOFTOQLe",NEUTRAL_ANALYSIS,0.3381,"[31.35, 43.35]","[0.0, 0.0804]","[0.0, 0.15]"
IND 88/8 after 15 overs. 58 runs behind and SA expected to win around a minimum margin of 55 runs.,CONSTRUCTIVE_CRITICISM,0.4172,"[38.68, 50.68]","[0.0, 0.0809]","[0.0, 0.15]"
"Posts and questions like this are just goonga.

South Africa just beat India by 76 runs, why would they purposely lose against West Indies just to avoid India in the knockouts?

Ignoring the fact they are a professional team and they want momentum, at this point I’d back SA to repeat the same result against India again. 

#T20WorldCup",NEUTRAL_ANALYSIS,0.3191,"[31.83, 43.83]","[0.0, 0.1084]","[0.0, 0.15]"
"Good that SA are playing West Indies next... If they were playing them last, they could've simply lost to pack India home 🤣",CONSTRUCTIVE_CRITICISM,0.3579,"[69.0, 81.0]","[0.0, 0.0804]","[0.0, 0.15]"
My stocks holding Rachin batting stocks https://t.co/4nrRhLzcJE,NEUTRAL_ANALYSIS,0.3619,"[25.12, 37.12]","[0.0, 0.0815]","[0.0, 0.15]"
"March 18. 
The number 18.
A homecoming that feels written in the stars. ❤️🏏 #RCB #Virat 
Now the excitement and build up can really start",NEUTRAL_ANALYSIS,0.342,"[38.46, 50.46]","[0.0, 0.0802]","[0.0, 0.15]"
"Smriti batting so well, started slow but then super accelerated, easy century miss.",NEUTRAL_ANALYSIS,0.3989,"[43.05, 55.05]","[0.0, 0.0805]","[0.0, 0.15]"
"Day 4 in the meet the domestics series, we are nearly there guys!
Today’s focus is on the lesser known players for PBKS and #IPL champions elect RCB",NEUTRAL_ANALYSIS,0.3024,"[69.0, 81.0]","[0.0, 0.0803]","[0.0, 0.15]"
"Except Nissanka - Kusal, what poverty batting lineup is this... Can't even call it mid",CONSTRUCTIVE_CRITICISM,0.3615,"[30.18, 42.18]","[0.0, 0.0803]","[0.0, 0.15]"
"🚨 News 🚨

@ChennaiIPL pick a player replacement for the injured Nathan Ellis for the upcoming #TATAIPL.

More details 🔽

https://t.co/CJfaq3mpvo",NEUTRAL_ANALYSIS,0.3152,"[30.8, 42.8]","[0.0, 0.0802]","[0.0, 0.15]"
"According to ESPNcricinfo, the PCB has fined the entire Pakistan squad a combined USD 18,000 after they failed to reach the T20 World Cup semi-finals.

The penalty was imposed after their defeat to India and would reportedly have been revoked had the team progressed to the last four.",NEUTRAL_ANALYSIS,0.3161,"[31.78, 43.78]","[0.0, 0.0802]","[0.0, 0.15]"
"These international bowlers use no brain? Rutherford struggles with wide yorkers, but not even one bowler is bowling to him wide yorkers",NEUTRAL_ANALYSIS,0.3777,"[32.02, 44.02]","[0.0, 0.0977]","[0.0, 0.15]"
"Jaiswal took 47/50 to hit 100 runs.
KL Rahul took 49/50 to hit 100 runs.

But ABD took 30/50 to hit 100 runs. He is not normal bro 😭😭😭",NEUTRAL_ANALYSIS,0.3409,"[36.36, 48.36]","[0.0, 0.1418]","[0.0, 0.15]"
This is clinical from RCB women.👏👏 #rcbwvsdcw #WPLFinal,NEUTRAL_ANALYSIS,0.3407,"[28.23, 40.23]","[0.0, 0.0968]","[0.0, 0.15]"
"Harro Iam clueless to be honest 😂😂😂
I don’t know on what parameters are these defined. One thing Iam sure about is if some one says Miller’s power is 64/100 i won’t waste anytime on these anymore 😂😂😂",NEUTRAL_ANALYSIS,0.3534,"[69.0, 81.0]","[0.0, 0.0809]","[0.0, 0.15]"
"Now I have had time to reflect on this, I absolutely applaud @liaml4893 for his honesty and bravery for speaking out on this. 
It has confirmed what most of us suspected about the toxic culture in this current England set up.",NEUTRAL_ANALYSIS,0.3242,"[69.0, 81.0]","[0.0, 0.0801]","[0.0, 0.15]"
